nama_produk,nama_produk_1,nama_produk_2,harga_jual_fix,stock_tersedia_v2,customer_id,sku_induk_spesial,total_omset,voucher_diskon_persen,status_pesanan
Sepatu Sneakers Alpha,Sepatu Sneakers Alpha,SEPATU SNEAKERS ALPHA,150000,12,CUST001,SKU-ALP-01,1800000,10,Selesai
Kemeja Flanel Premium,Kemeja Flanel Premium,KEMEJA FLANEL PREMIUM,185000,8,CUST002,SKU-FLA-02,1480000,5,Diproses
Kaos Polos Cotton 30s,Kaos Polos Cotton 30s,KAOS POLOS COTTON 30S,45000,45,CUST003,SKU-COT-03,2025000,0,Selesai
Celana Chino Slimfit,Celana Chino Slimfit,CELANA CHINO SLIMFIT,210000,15,CUST004,SKU-CHI-04,3150000,15,Dikirim
Jaket Bomber Waterproof,Jaket Bomber Waterproof,JAKET BOMBER WATERPROOF,299000,6,CUST005,SKU-BOM-05,1794000,0,Selesai
Tas Ransel Laptop,Tas Ransel Laptop,TAS RANSEL LAPTOP,350000,10,CUST006,SKU-RAN-06,3500000,20,Dibatalkan
Dompet Kulit Pria,Dompet Kulit Pria,DOMPET KULIT PRIA,125000,22,CUST007,SKU-DOM-07,2750000,5,Selesai
Jam Tangan Chronograph,Jam Tangan Chronograph,JAM TANGAN CHRONOGRAPH,750000,4,CUST008,SKU-JAM-08,3000000,10,Selesai
Sandal Gunung Outdoor,Sandal Gunung Outdoor,SANDAL GUNUNG OUTDOOR,95000,30,CUST009,SKU-SAN-09,2850000,0,Diproses
Topi Baseball Polos,Topi Baseball Polos,TOPI BASEBALL POLOS,35000,50,CUST010,SKU-TOP-10,1750000,0,Selesai
Sweater Hoodie Oversize,Sweater Hoodie Oversize,SWEATER HOODIE OVERSIZE,199000,14,CUST011,SKU-HOO-11,2786000,5,Dikirim
Ikat Pinggang Kulit,Ikat Pinggang Kulit,IKAT PINGGANG KULIT,85000,25,CUST012,SKU-IKA-12,2125000,0,Selesai
Kaos Kaki Soka Isi 3,Kaos Kaki Soka Isi 3,KAOS KAKI SOKA ISI 3,25000,100,CUST013,SKU-KAK-13,2500000,10,Selesai
Celana Jeans Regular,Celana Jeans Regular,CELANA JEANS REGULAR,275000,11,CUST014,SKU-JEA-14,3025000,0,Dibatalkan
Kacamata Hitam Polarized,Kacamata Hitam Polarized,KACAMATA HITAM POLARIZED,135000,18,CUST015,SKU-KAC-15,2430000,5,Selesai
Gantungan Kunci Custom,Gantungan Kunci Custom,GANTUNGAN KUNCI CUSTOM,15000,200,CUST016,SKU-GAN-16,3000000,0,Selesai
Baju Tidur Piyama Satin,Baju Tidur Piyama Satin,BAJU TIDUR PIYAMA SATIN,120000,16,CUST017,SKU-PIY-17,1920000,10,Diproses
Blouse Wanita Kasual,Blouse Wanita Kasual,BLOUSE WANITA KASUAL,99000,28,CUST018,SKU-BLO-18,2772000,0,Selesai
