No,Nama_Produk_Mentah,Kategori,Harga
1,Sepatu Sneakers Pria™ Premium 🔥 Anti Selip,Fashion Pria,350000
2,Baju Kaos   Oversize Polos [READY] !!,Fashion Pria,850000
3,🚀 PROMO!! Jam Tangan Wanita Anti Air 💧,Jam Tangan,125000
4,Kemeja Flanel Kotak-Kotak ORIGINAL 💯%,Fashion Pria,175000
5,Celana Chino Slimfit Pria - Hitam & Charcoal,Fashion Pria,120000
6,Gamis Wanita Muslimah Modern_Terbaru 🌟,Fashion Muslim,250000
7,Hijab Bella Square Segiempat (Beli 1 Gratis 1) 🧕,Fashion Muslim,25000
8,Tas Ransel Laptop USB Charger 🎒 Backpack,Tas Pria,199000
9,Dompet Kulit Pria Asli Genuine Leather®,Aksesoris,150000
10,Sandal Slide Casual Pria/Wanita 🩴 Murah,Fashion Pria,45000
11,Lipcream Matte Tahan Lama up to 12H 💄💋,Kecantikan,65000
12,Serum Wajah Glowing Vitamin C 20ml ✨️,Kecantikan,89000
13,Bedak Tabur Natural Whitening SPF 30++,Kecantikan,55000
14,Masker Wajah Organik Greentea 🍃 [BEST SELLER],Kecantikan,15000
15,Sabun Cuci Muka Jerawat / Acne Care 🧼,Kecantikan,42000
16,Powerbank 20000mAh Fast Charging ⚡⚡,Handphone & Tablet,210000
17,Casing iPhone 11 12 13 Pro Max Silicon 📱,Handphone & Tablet,35000
18,Headset Bluetooth TWS Bass Mantap 🎧🎶,Audio,115000
19,Kabel Data Type C To Type C 1 Meter [OEM],Handphone & Tablet,28000
20,Holder HP Gurita untuk Motor 🐙 (Grosir),Aksesoris HP,5000
21,Wajan Teflon Anti Lengket 24cm 🍳 Kitchen,Perlengkapan Rumah,95000
22,Pisau Set Dapur Isi 5 Pcs Tajam Stainless 🔪,Perlengkapan Rumah,75000
23,Botol Minum Olahraga 1 Liter / Tumbler ⏰️,Perlengkapan Rumah,39000
24,Rak Sepatu Gantung 10 Sekat Kain Tebal,Perlengkapan Rumah,48000
25,Lampu Tidur LED Proyektor Bintang 🌌,Perlengkapan Rumah,62000
26,Kopi Susu Gula Aren Literan ( Grab/Gojek Only ) ☕,Makanan & Minuman,70000
27,Keripik Kaca Pedas Daun Jeruk 100gr 🌶️🔥,Makanan & Minuman,12000
28,Madu Murni Alami 500gr Tanpa Campuran 🍯,Makanan & Minuman,135000
29,Camilan Makaroni Spiral Pedas Gila Level 10,Makanan & Minuman,10000
30,Mie Instan Goreng Rasa Ayam Bawang (1 Dus),Makanan & Minuman,115000
31,Buku Jurnal Agenda Kerja A5 Leather Cover 📖,Alat Tulis,45000
32,Pulpen Gel Hitam 0.5mm Isi 12 Pcs 🖊️,Alat Tulis,18000
33,Sticky Notes Karakter Lucu Warna Warni 📝,Alat Tulis,8000
34,Kotak Pensil Kanvas Kapasitas Besar,Alat Tulis,25000
35,Buku Mewarnai Anak + Free Crayon 🎨,Alat Tulis,32000
36,Tikar Lipat Piknik Waterproof Ukuran XL 🧺,Olahraga & Outdoor,78000
37,Tali Skipping Digital Counter Alat Lompat Tali,Olahraga & Outdoor,55000
38,Matras Yoga 8mm Free Tas Tali 🧘‍♀️,Olahraga & Outdoor,125000
39,Jersey Bola Negara Retro Klasik ⚽,Olahraga & Outdoor,99000
40,Tas Pinggang Olahraga / Running Belt Bag 🏃‍♂️,Olahraga & Outdoor,34000
41,Oli Motor Matic 10W-30 (0.8L) Original 🛵,Otomotif,48000
42,Parfum Mobil Kopi Bali Scents Pewangi Gantung,Otomotif,15000
43,Kanebo Serat High Quality Lap Pembersih 🚗,Otomotif,22000
44,Helm Retro Dewasa Sni Bonus Kaca Bogo,Otomotif,165000
45,Jas Hujan Setelan Baju Celana Pria Wanita 🌧️,Otomotif,85000
46,Mainan Lego Susun Balok Anak 100+ Pcs 🧱,Mainan & Hobi,59000
47,Kartu UNO Card Game Original Mattel 🃏,Mainan & Hobi,35000
48,Boneka Beruang Teddy Bear Jumbo 1 Meter 🧸,Mainan & Hobi,180000
49,Hot Wheels Diecast Mobil Balap Skala 1:64,Mainan & Hobi,29000
50,Slime Wangi Buah Warna Warni Murah 🪐,Mainan & Hobi,12000
